"a"   8.167   1       "e"   12.702  1 
"b"   1.492   2       "t"   9.056   2 
"c"   2.782   3       "a"   8.167   3 
"d"   4.253   4       "o"   7.507   4 
"e"   12.702  5       "i"   6.9662  5 
"f"   2.228   6       "n"   6.749   6 
"g"   2.015   7       "s"   6.327   7 
"h"   6.094   8       "h"   6.094   8 
"i"   6.966   9       "r"   5.987   9 
"j"   0.153   10      "d"   4.253   10
"k"   0.772   11      "l"   4.025   11
"l"   4.025   12      "c"   2.782   12
"m"   2.406   13      "u"   2.758   13
"n"   6.749   14      "m"   2.406   14
"o"   7.507   15      "w"   2.360   15
"p"   1.929   16      "f"   2.228   16
"q"   0.095   17      "g"   2.015   17
"r"   5.987   18      "y"   1.974   18
"s"   6.327   19      "p"   1.929   19
"t"   9.056   20      "b"   1.492   20
"u"   2.758   21      "v"   0.978   21
"v"   0.978   22      "k"   0.772   22
"w"   2.360   23      "j"   0.153   23
"x"   0.150   24      "x"   0.150   24
"y"   1.974   25      "q"   0.095   25
"z"   0.074   26      "z"   0.074   26
